S21 dB20 X,S21 dB20 Y
1000000000,-40.14103887743215
1023333333.333333,-39.45661207174373
1046666666.666667,-38.78347371234922
1070000000,-38.1210003642746
1093333333.333333,-37.46860638364647
1116666666.666667,-36.82574063036534
1140000000,-36.19188351887399
1163333333.333333,-35.56654436608954
1186666666.666667,-34.94925900131008
1210000000,-34.33958760776579
1233333333.333333,-33.73711276960926
1256666666.666666,-33.14143770166049
1280000000,-32.55218464223732
1303333333.333333,-31.96899339199904
1326666666.666666,-31.3915199839773
1349999999.999999,-30.81943547192434
1373333333.333333,-30.25242482582051
1396666666.666666,-29.6901859248946
1419999999.999999,-29.13242863985429
1443333333.333332,-28.57887399723253
1466666666.666666,-28.02925341985293
1489999999.999999,-27.48330803842941
1513333333.333332,-26.94078807026021
1536666666.666665,-26.40145226187622
1559999999.999999,-25.86506739337473
1583333333.333332,-25.33140784303019
1606666666.666665,-24.800255211641
1629999999.999998,-24.2713980069623
1653333333.333332,-23.74463138950784
1676666666.666665,-23.21975698199752
1699999999.999998,-22.69658274580097
1723333333.333331,-22.17492292890352
1746666666.666665,-21.65459809122087
1769999999.999998,-21.13543521453934
1793333333.333331,-20.61726790598404
1816666666.666664,-20.09993670574895
1839999999.999998,-19.58328951188734
1863333333.333331,-19.06718213729088
1886666666.666664,-18.55147901660857
1909999999.999997,-18.03605408379968
1933333333.333331,-17.52079184429594
1956666666.666664,-17.00558866937817
1979999999.999997,-16.4903543443378
2003333333.33333,-15.97501390625761
2026666666.666664,-15.45950981172731
2049999999.999997,-14.94380447936351
2073333333.33333,-14.42788325640416
2096666666.666663,-13.91175786254308
2119999999.999997,-13.39547036704935
2143333333.33333,-12.87909775635099
2166666666.666663,-12.36275714763949
2189999999.999997,-11.84661169830331
2213333333.33333,-11.33087724931753
2236666666.666664,-10.81582972077628
2259999999.999997,-10.30181324666484
2283333333.333331,-9.789248990263129
2306666666.666664,-9.278644517328384
2329999999.999998,-8.770603517309967
2353333333.333331,-8.265835549567505
2376666666.666665,-7.7651653494665
2399999999.999998,-7.269541058645874
2423333333.333332,-6.780040549800804
2446666666.666665,-6.297874811445071
2469999999.999999,-5.824387164883561
2493333333.333332,-5.361046939112262
2516666666.666666,-4.90943617792623
2539999999.999999,-4.471228056280633
2563333333.333333,-4.048156002089791
2586666666.666666,-3.641973106001841
2610000000,-3.254402273977486
2633333333.333333,-2.887078698596077
2656666666.666667,-2.541487482725666
2680000000,-2.218900452462147
2703333333.333333,-1.920317097138363
2726666666.666667,-1.64641491984734
2750000000,-1.397514087794461
2773333333.333334,-1.173560093770274
2796666666.666667,-0.9741263149330213
2820000000.000001,-0.7984361858941329
2843333333.333334,-0.6454025860894737
2866666666.666668,-0.513680358525059
2890000000.000001,-0.4017268935821001
2913333333.333335,-0.307865517207056
2936666666.666668,-0.2303469318909469
2960000000.000002,-0.1674049619723975
2983333333.333335,-0.117304093956699
3006666666.666669,-0.07837754054510299
3030000000.000002,-0.04905562207586853
3053333333.333336,-0.02788505925325522
3076666666.666669,-0.01354028568886913
3100000000.000003,-0.004828147066903766
3123333333.333336,-0.0006874111538045756
3146666666.66667,-0.0001844318883438219
3170000000.000003,-0.002506148279310854
3193333333.333337,-0.006951399843684798
3216666666.66667,-0.01292133655856413
3240000000.000004,-0.01990951250192058
3263333333.333337,-0.02749208882831885
3286666666.666671,-0.03531843713195759
3310000000.000004,-0.0431023280499928
3333333333.333338,-0.05061380927557262
3356666666.666671,-0.05767181807814233
3380000000.000005,-0.06413753186430243
3403333333.333338,-0.06990843242982472
3426666666.666672,-0.07491304202905767
3450000000.000005,-0.07910627947580381
3473333333.333339,-0.08246538000313149
3496666666.666672,-0.08498632185860235
3520000000.000006,-0.08668070432508318
3543333333.333339,-0.08757302510092746
3566666666.666673,-0.08769830907787053
3590000000.000006,-0.08710004505200557
3613333333.33334,-0.08582839147612584
3636666666.666673,-0.08393861680418709
3660000000.000007,-0.08148974416314045
3683333333.33334,-0.07854337394357085
3706666666.666674,-0.07516266139475977
3730000000.000007,-0.07141142943576254
3753333333.333341,-0.06735339966048144
3776666666.666674,-0.06305152694170155
3800000000.000008,-0.05856742515104714
3823333333.333341,-0.05396087333705792
3846666666.666675,-0.04928939327018211
3870000000.000008,-0.04460789059878749
3893333333.333342,-0.03996835299147233
3916666666.666675,-0.03541959959157778
3940000000.000009,-0.03100707690337367
3963333333.333342,-0.02677269688619418
3986666666.666676,-0.02275471357155901
4010000000.000009,-0.0189876349565387
4033333333.333343,-0.01550216727891253
4056666666.666676,-0.01232518906063777
4080000000.00001,-0.009479752527168591
4103333333.333343,-0.006985110183301734
4126666666.666677,-0.004856764460204894
4150000000.00001,-0.003106538452557589
4173333333.333344,-0.001742665846186287
4196666666.666677,-0.0007698982021889026
4220000000.00001,-0.0001896278185498896
4243333333.333344,-2.443937725198256e-08
4266666666.666677,-0.0001961841291458489
4290000000.000011,-0.000770288677381898
4313333333.333344,-0.001711773950795175
4336666666.666677,-0.003007505666273733
4360000000.00001,-0.004641961120730947
4383333333.333344,-0.006597415483013836
4406666666.666677,-0.008854131329048449
4430000000.00001,-0.01139055018375078
4453333333.333343,-0.01418348492190685
4476666666.666676,-0.01720831197349401
4500000000.000009,-0.02043916237694502
4523333333.333342,-0.02384911082441664
4546666666.666675,-0.0274103619460291
4570000000.000008,-0.03109443318335169
4593333333.333341,-0.0348723337054783
4616666666.666674,-0.03871473892241188
4640000000.000007,-0.04259216024932708
4663333333.33334,-0.04647510987070485
4686666666.666673,-0.05033426034413858
4710000000.000006,-0.05414059896980201
4733333333.333339,-0.05786557693171556
4756666666.666672,-0.06148125329139761
4780000000.000005,-0.06496043398227988
4803333333.333338,-0.06827680601453129
4826666666.666671,-0.07140506715443384
4850000000.000004,-0.07432105138998278
4873333333.333337,-0.07700185053527002
4896666666.66667,-0.07942593235996581
4920000000.000003,-0.08157325565775252
4943333333.333336,-0.08342538268783789
4966666666.666669,-0.08496558943816866
4990000000.000002,-0.08617897416637996
5013333333.333335,-0.08705256467607066
5036666666.666668,-0.08757542478101703
5060000000.000001,-0.08773876039873169
5083333333.333334,-0.08753602569715666
5106666666.666667,-0.08696302969426195
5130000000,-0.0860180436794851
5153333333.333333,-0.08470190978822444
5176666666.666666,-0.08301815101575297
5199999999.999999,-0.08097308290391611
5223333333.333332,-0.07857592707334236
5246666666.666665,-0.07583892670399806
5269999999.999998,-0.07277746398804429
5293333333.333331,-0.06941017948972118
5316666666.666664,-0.06575909324727154
5339999999.999997,-0.06184972734065147
5363333333.33333,-0.05771122952547989
5386666666.666663,-0.05337649739759247
5409999999.999996,-0.04888230240341106
5433333333.333329,-0.04426941284853102
5456666666.666662,-0.03958271488030936
5479999999.999995,-0.03487133023032069
5503333333.333328,-0.0301887292993504
5526666666.666661,-0.02559283795242693
5549999999.999994,-0.0211461361657578
5573333333.333327,-0.01691574643333212
5596666666.66666,-0.01297350960170887
5619999999.999993,-0.009396045560563277
5643333333.333326,-0.006264795979267448
5666666666.666659,-0.003666046051689231
5689999999.999992,-0.00169092199997666
5713333333.333325,-0.0004353609014817544
5736666666.666658,-4.925100908510889e-08
5759999999.999991,-0.0004903265638856444
5783333333.333324,-0.002016050275857247
5806666666.666657,-0.004691418216258679
5829999999.99999,-0.00863474503457258
5853333333.333323,-0.01396818916059549
5876666666.666656,-0.02081742718848929
5899999999.99999,-0.02931127300599957
5923333333.333323,-0.03958123955336663
5946666666.666656,-0.05176104179795531
5969999999.999989,-0.06598604035525298
5993333333.333322,-0.08239262617233889
6016666666.666655,-0.1011175478107817
6039999999.999988,-0.1222971841075467
6063333333.333321,-0.1460667663358647
6086666666.666654,-0.1725595554039247
6109999999.999987,-0.2019059810829366
6133333333.33332,-0.2342327517042291
6156666666.666653,-0.2696619441589186
6179999999.999986,-0.3083100853192275
6203333333.333319,-0.3502872371215611
6226666666.666652,-0.3956960984511732
6249999999.999985,-0.4446311375932611
6273333333.333318,-0.4971777693176461
6296666666.666651,-0.5534115906060519
6319999999.999984,-0.6133976885858148
6343333333.333317,-0.6771900333911656
6366666666.66665,-0.7448309674388354
6389999999.999983,-0.8163508010012452
6413333333.333316,-0.8917675220304779
6436666666.666649,-0.9710866259855699
6459999999.999982,-1.054301069016017
6483333333.333315,-1.14139134533765
6506666666.666648,-1.232325687090256
6529999999.999981,-1.327060382479368
6553333333.333314,-1.425540205663664
6576666666.666647,-1.527698949732384
6599999999.99998,-1.633460052291596
6623333333.333313,-1.742737301695464
6646666666.666646,-1.85543561085461
6669999999.999979,-1.971451844845154
6693333333.333312,-2.090675688229565
6716666666.666645,-2.212990538067685
6739999999.999978,-2.338274409012198
6763333333.333311,-2.466400837606918
