S11 dB20 X,S11 dB20 Y
1000000000,-0.0004204375002282671
1023333333.333333,-0.0004922069188993413
1046666666.666667,-0.000574732394177601
1070000000,-0.0006694493849809171
1093333333.333333,-0.0007779694997452138
1116666666.666667,-0.0009021013911451333
1140000000,-0.001043874171677158
1163333333.333333,-0.001205563668787301
1186666666.666667,-0.001389721880769981
1210000000,-0.001599210043349518
1233333333.333333,-0.001837235772452976
1256666666.666666,-0.002107394812229566
1280000000,-0.002413717990242663
1303333333.333333,-0.002760724065100959
1326666666.666666,-0.003153479247517033
1349999999.999999,-0.003597664285563967
1373333333.333333,-0.004099650131043348
1396666666.666666,-0.004666583348963988
1419999999.999999,-0.005306482598978328
1443333333.333332,-0.006028347709905831
1466666666.666666,-0.006842283089981536
1489999999.999999,-0.007759637470972657
1513333333.333332,-0.008793162279235324
1536666666.666665,-0.009957191267316014
1559999999.999999,-0.01126784443324331
1583333333.333332,-0.01274325970954411
1606666666.666665,-0.01440385643014152
1629999999.999998,-0.01627263519177351
1653333333.333332,-0.0183755194307595
1676666666.666665,-0.0207417448502253
1699999999.999998,-0.0234043037751251
1723333333.333331,-0.02640045260136856
1746666666.666665,-0.02977229176360131
1769999999.999998,-0.03356742909824464
1793333333.333331,-0.03783973915190162
1816666666.666664,-0.04265023291018273
1839999999.999998,-0.04806805463101877
1863333333.333331,-0.05417162499350674
1886666666.666664,-0.06104995265252545
1909999999.999997,-0.06880413955358472
1933333333.333331,-0.07754910903917094
1956666666.666664,-0.08741558988572976
1979999999.999997,-0.09855239395165195
2003333333.33333,-0.1111290300675001
2026666666.666664,-0.125338702098242
2049999999.999997,-0.1414017446337583
2073333333.33333,-0.1595695553177156
2096666666.666663,-0.1801290880917506
2119999999.999997,-0.2034079761423233
2143333333.33333,-0.2297803564157593
2166666666.666663,-0.2596734682671625
2189999999.999997,-0.2935750958437567
2213333333.33333,-0.3320419154669865
2236666666.666664,-0.3757087933752337
2259999999.999997,-0.4252990529882387
2283333333.333331,-0.4816356910995439
2306666666.666664,-0.5456534654302979
2329999999.999998,-0.6184116980158643
2353333333.333331,-0.7011075366442072
2376666666.666665,-0.7950892881644633
2399999999.999998,-0.9018692840136444
2423333333.333332,-1.023135565866175
2446666666.666665,-1.160761501652662
2469999999.999999,-1.316812283657569
2493333333.333332,-1.493547158458069
2516666666.666666,-1.693416244737317
2539999999.999999,-1.919050973147591
2563333333.333333,-2.173247600913977
2586666666.666666,-2.458943972549959
2610000000,-2.779190748453525
2633333333.333333,-3.137119686758469
2656666666.666667,-3.535913155893999
2680000000,-3.978780725888141
2703333333.333333,-4.468950250208571
2726666666.666667,-5.00968215115719
2750000000,-5.604316629967864
2773333333.333334,-6.256364443249995
2796666666.666667,-6.96965327190608
2820000000.000001,-7.748544569127953
2843333333.333334,-8.59824175718362
2866666666.666668,-9.525222414595385
2890000000.000001,-10.53784926522406
2913333333.333335,-11.64725608888314
2936666666.666668,-12.86868321012784
2960000000.000002,-14.22359346241066
2983333333.333335,-15.74323144930783
3006666666.666669,-17.47505663273913
3030000000.000002,-19.49545996243737
3053333333.333336,-21.93806246582945
3076666666.666669,-25.06833321985863
3100000000.000003,-29.54245205913297
3123333333.333336,-38.00602106765862
3146666666.66667,-43.71957519967974
3170000000.000003,-32.38902849709138
3193333333.333337,-27.96059565137528
3216666666.66667,-25.27122779363819
3240000000.000004,-23.39718780467109
3263333333.333337,-21.99950452138905
3286666666.666671,-20.91547558931433
3310000000.000004,-20.05436917322675
3333333333.333338,-19.3604351975952
